GEOID,NAME,total_incomeE,total_incomeM,ratio_halfE,ratio_halfM,ratio_oneE,ratio_oneM,med_grs_rentE,med_grs_rentM
"24510150900","Census Tract 1509, Baltimore city, Maryland",2824,430,440,319,162,137,1049,217
"24510200400","Census Tract 2004, Baltimore city, Maryland",1653,244,275,129,359,169,806,113
"24510200500","Census Tract 2005, Baltimore city, Maryland",2895,505,738,390,812,361,868,69
"24005403701","Census Tract 4037.01, Baltimore County, Maryland",7030,520,167,106,574,313,1472,170
"24005404402","Census Tract 4044.02, Baltimore County, Maryland",5907,330,40,44,82,97,1583,583
"24005405000","Census Tract 4050, Baltimore County, Maryland",4525,309,101,71,149,158,1354,592
"24005408302","Census Tract 4083.02, Baltimore County, Maryland",2966,152,51,63,58,48,1622,519
"24005408601","Census Tract 4086.01, Baltimore County, Maryland",3981,194,14,19,6,11,1766,611
"24005491000","Census Tract 4910, Baltimore County, Maryland",2180,105,22,34,12,13,788,38
"24005451000","Census Tract 4510, Baltimore County, Maryland",1717,112,67,39,51,31,931,79
"24005491300","Census Tract 4913, Baltimore County, Maryland",3359,364,553,263,408,266,1183,52
"24005491401","Census Tract 4914.01, Baltimore County, Maryland",5584,534,658,361,185,133,1067,42
"24005491500","Census Tract 4915, Baltimore County, Maryland",3495,331,183,107,594,316,1018,204
"24005492102","Census Tract 4921.02, Baltimore County, Maryland",2316,153,107,77,24,25,1765,243
"24005451300","Census Tract 4513, Baltimore County, Maryland",3383,500,223,106,249,207,949,90
"24005451802","Census Tract 4518.02, Baltimore County, Maryland",3811,290,104,64,87,69,822,48
"24005452400","Census Tract 4524, Baltimore County, Maryland",3350,291,157,127,112,86,895,253
"24005490301","Census Tract 4903.01, Baltimore County, Maryland",5417,531,892,309,546,226,1432,55
"24005490701","Census Tract 4907.01, Baltimore County, Maryland",1403,117,13,12,38,27,2001,
"24005490800","Census Tract 4908, Baltimore County, Maryland",3510,272,333,222,156,94,1259,133
"24005402503","Census Tract 4025.03, Baltimore County, Maryland",5030,469,654,378,344,161,1088,41
"24005403500","Census Tract 4035, Baltimore County, Maryland",5348,249,145,100,188,131,1144,45
"24005408200","Census Tract 4082, Baltimore County, Maryland",2079,181,17,25,0,12,2001,
"24005408400","Census Tract 4084, Baltimore County, Maryland",699,86,50,62,21,18,1453,108
"24005408505","Census Tract 4085.05, Baltimore County, Maryland",4026,238,290,186,62,54,1109,94
"24005408703","Census Tract 4087.03, Baltimore County, Maryland",6105,310,53,47,146,100,1578,230
"24005408704","Census Tract 4087.04, Baltimore County, Maryland",5840,382,58,54,41,48,2001,
"24005411306","Census Tract 4113.06, Baltimore County, Maryland",5598,432,83,78,71,108,1595,144
"24005411404","Census Tract 4114.04, Baltimore County, Maryland",3743,216,62,49,45,42,1360,109
"24005420303","Census Tract 4203.03, Baltimore County, Maryland",1285,92,40,32,50,49,988,499
"24005430300","Census Tract 4303, Baltimore County, Maryland",5819,554,1096,499,524,320,1072,52
"24005440400","Census Tract 4404, Baltimore County, Maryland",5266,341,75,83,233,241,1212,649
"24005450501","Census Tract 4505.01, Baltimore County, Maryland",3989,391,390,257,307,200,731,17
"24005400400","Census Tract 4004, Baltimore County, Maryland",5489,387,246,138,116,108,1227,419
"24005402504","Census Tract 4025.04, Baltimore County, Maryland",4190,317,192,135,151,205,946,279
"24005492200","Census Tract 4922, Baltimore County, Maryland",4797,340,57,65,136,141,1172,43
"24005402403","Census Tract 4024.03, Baltimore County, Maryland",2151,250,91,72,90,77,1042,1139
"24005402405","Census Tract 4024.05, Baltimore County, Maryland",2970,338,79,64,125,86,1025,51
"24005403201","Census Tract 4032.01, Baltimore County, Maryland",2994,348,118,87,112,95,,
"24005403702","Census Tract 4037.02, Baltimore County, Maryland",4291,588,144,127,33,35,1435,357
"24005408900","Census Tract 4089, Baltimore County, Maryland",2886,221,64,77,62,68,934,185
"24005411102","Census Tract 4111.02, Baltimore County, Maryland",3033,186,34,45,28,28,490,222
"24005408502","Census Tract 4085.02, Baltimore County, Maryland",4916,370,17,25,54,56,1978,483
"24005408503","Census Tract 4085.03, Baltimore County, Maryland",3156,285,57,72,495,218,1158,34
"24005408602","Census Tract 4086.02, Baltimore County, Maryland",2049,130,15,14,11,16,1621,196
"24005411407","Census Tract 4114.07, Baltimore County, Maryland",9154,559,401,252,448,310,1560,107
"24005411409","Census Tract 4114.09, Baltimore County, Maryland",5294,325,209,256,170,123,1722,211
"24005411410","Census Tract 4114.10, Baltimore County, Maryland",4796,237,55,66,91,99,1356,66
"24005420100","Census Tract 4201, Baltimore County, Maryland",3558,237,176,136,127,80,1259,667
"24005420200","Census Tract 4202, Baltimore County, Maryland",2264,235,115,147,91,60,994,129
"24005440300","Census Tract 4403, Baltimore County, Maryland",2099,167,84,65,131,114,1133,61
"24005440600","Census Tract 4406, Baltimore County, Maryland",2207,239,8,11,52,43,,
"24005440800","Census Tract 4408, Baltimore County, Maryland",3207,277,36,39,88,62,1196,80
"24005490602","Census Tract 4906.02, Baltimore County, Maryland",2966,224,285,141,40,33,1194,58
"24005492002","Census Tract 4920.02, Baltimore County, Maryland",3919,374,236,167,150,93,1311,89
"24005401102","Census Tract 4011.02, Baltimore County, Maryland",1100,160,59,54,55,38,1072,71
"24005401301","Census Tract 4013.01, Baltimore County, Maryland",3580,281,106,73,167,176,1415,176
"24005401505","Census Tract 4015.05, Baltimore County, Maryland",4403,485,54,45,208,104,396,596
"24005402407","Census Tract 4024.07, Baltimore County, Maryland",1521,247,47,60,87,66,980,130
"24005404404","Census Tract 4044.04, Baltimore County, Maryland",4676,317,71,55,394,236,1171,134
"24005407001","Census Tract 4070.01, Baltimore County, Maryland",3255,236,20,31,97,103,1194,634
"24005407002","Census Tract 4070.02, Baltimore County, Maryland",6077,370,72,49,52,46,1254,664
"24005408303","Census Tract 4083.03, Baltimore County, Maryland",3499,142,57,52,0,12,,
